Version,Threads,Size,Execution_Time(s)
sequential,1,25000,0.132198
sequential,1,25000,0.128165
sequential,1,25000,0.128593
sequential,1,25000,0.129224
sequential,1,25000,0.128885
parallel,2,25000,0.056316
parallel,2,25000,0.056076
parallel,2,25000,0.056090
parallel,2,25000,0.056389
parallel,2,25000,0.057644
parallel,4,25000,0.041742
parallel,4,25000,0.030012
parallel,4,25000,0.028505
parallel,4,25000,0.028004
parallel,4,25000,0.028877
parallel,8,25000,0.032964
parallel,8,25000,0.028613
parallel,8,25000,0.028498
parallel,8,25000,0.028638
parallel,8,25000,0.028594
parallel,12,25000,0.025785
parallel,12,25000,0.020815
parallel,12,25000,0.020751
parallel,12,25000,0.021290
parallel,12,25000,0.019145
sequential,1,50000,0.507712
sequential,1,50000,0.510186
sequential,1,50000,0.509986
sequential,1,50000,0.506419
sequential,1,50000,0.506261
parallel,2,50000,0.228547
parallel,2,50000,0.223613
parallel,2,50000,0.221246
parallel,2,50000,0.220488
parallel,2,50000,0.276312
parallel,4,50000,0.136417
parallel,4,50000,0.118575
parallel,4,50000,0.117415
parallel,4,50000,0.134295
parallel,4,50000,0.114090
parallel,8,50000,0.115820
parallel,8,50000,0.113769
parallel,8,50000,0.113741
parallel,8,50000,0.113736
parallel,8,50000,0.110168
parallel,12,50000,0.088128
parallel,12,50000,0.080791
parallel,12,50000,0.078516
parallel,12,50000,0.083190
parallel,12,50000,0.081014
sequential,1,100000,2.069119
sequential,1,100000,2.061991
sequential,1,100000,2.073122
sequential,1,100000,2.077806
sequential,1,100000,2.081353
parallel,2,100000,0.928405
parallel,2,100000,0.924251
parallel,2,100000,0.934208
parallel,2,100000,0.915777
parallel,2,100000,0.904004
parallel,4,100000,0.481994
parallel,4,100000,0.470035
parallel,4,100000,0.462035
parallel,4,100000,0.458921
parallel,4,100000,0.463820
parallel,8,100000,0.375893
parallel,8,100000,0.378711
parallel,8,100000,0.371399
parallel,8,100000,0.374131
parallel,8,100000,0.383354
parallel,12,100000,0.332005
parallel,12,100000,0.317111
parallel,12,100000,0.317416
parallel,12,100000,0.318293
parallel,12,100000,0.313069
sequential,1,200000,8.320753
sequential,1,200000,8.324778
sequential,1,200000,8.771960
sequential,1,200000,8.885790
sequential,1,200000,9.046493
parallel,2,200000,3.904244
parallel,2,200000,3.878804
parallel,2,200000,3.869969
parallel,2,200000,3.785014
parallel,2,200000,3.871142
parallel,4,200000,2.007554
parallel,4,200000,2.043022
parallel,4,200000,1.949455
parallel,4,200000,1.990112
parallel,4,200000,1.985687
parallel,8,200000,1.562531
parallel,8,200000,1.515965
parallel,8,200000,1.696339
parallel,8,200000,1.445536
parallel,8,200000,1.594466
parallel,12,200000,1.415493
parallel,12,200000,1.275212
parallel,12,200000,1.376534
parallel,12,200000,1.297378
parallel,12,200000,1.366923
