Version,Threads,Execution_Time(s)
sequential,1,0.006418
sequential,1,0.006419
sequential,1,0.006424
sequential,1,0.006380
sequential,1,0.006539
parallel,2,0.004168
parallel,2,0.004294
parallel,2,0.004227
parallel,2,0.004633
parallel,2,0.004306
parallel,4,0.002209
parallel,4,0.002191
parallel,4,0.002177
parallel,4,0.002315
parallel,4,0.002213
parallel,8,0.001912
parallel,8,0.001918
parallel,8,0.001970
parallel,8,0.001911
parallel,8,0.002071
parallel,12,0.012568
parallel,12,0.001408
parallel,12,0.004918
parallel,12,0.001496
parallel,12,0.002244
