Version,Threads,Execution_Time(s)
sequential,1,1.508538
sequential,1,1.166782
sequential,1,1.178174
sequential,1,1.167542
sequential,1,1.156237
parallel,2,0.244655
parallel,2,0.278907
parallel,2,0.259343
parallel,2,0.296846
parallel,2,0.247782
parallel,4,0.226301
parallel,4,0.226961
parallel,4,0.238192
parallel,4,0.234826
parallel,4,0.283035
parallel,8,0.240891
parallel,8,0.239571
parallel,8,0.237478
parallel,8,0.239548
parallel,8,0.241067
parallel,12,0.234919
parallel,12,0.229413
parallel,12,0.229743
parallel,12,0.238795
parallel,12,0.260378
