Version,Threads,Size,Execution_Time(s)
sequential,1,1000,0.000454
sequential,1,1000,0.000457
sequential,1,1000,0.000436
sequential,1,1000,0.000435
sequential,1,1000,0.000437
parallel,2,1000,0.000418
parallel,2,1000,0.000377
parallel,2,1000,0.000409
parallel,2,1000,0.000385
parallel,2,1000,0.000395
parallel,4,1000,0.000287
parallel,4,1000,0.000275
parallel,4,1000,0.000252
parallel,4,1000,0.000281
parallel,4,1000,0.000250
parallel,8,1000,0.000268
parallel,8,1000,0.000214
parallel,8,1000,0.000206
parallel,8,1000,0.000234
parallel,8,1000,0.000234
parallel,12,1000,0.000271
parallel,12,1000,0.000205
parallel,12,1000,0.000205
parallel,12,1000,0.000196
parallel,12,1000,0.000197
sequential,1,5000,0.011382
sequential,1,5000,0.011404
sequential,1,5000,0.011409
sequential,1,5000,0.011309
sequential,1,5000,0.011329
parallel,2,5000,0.008663
parallel,2,5000,0.008790
parallel,2,5000,0.008784
parallel,2,5000,0.008681
parallel,2,5000,0.008657
parallel,4,5000,0.005341
parallel,4,5000,0.005365
parallel,4,5000,0.005441
parallel,4,5000,0.005405
parallel,4,5000,0.005332
parallel,8,5000,0.003943
parallel,8,5000,0.003821
parallel,8,5000,0.003895
parallel,8,5000,0.003925
parallel,8,5000,0.003941
parallel,12,5000,0.003368
parallel,12,5000,0.003335
parallel,12,5000,0.003370
parallel,12,5000,0.003251
parallel,12,5000,0.003397
sequential,1,10000,0.045149
sequential,1,10000,0.045785
sequential,1,10000,0.046061
sequential,1,10000,0.045408
sequential,1,10000,0.045369
parallel,2,10000,0.036169
parallel,2,10000,0.036151
parallel,2,10000,0.036038
parallel,2,10000,0.035096
parallel,2,10000,0.034813
parallel,4,10000,0.020921
parallel,4,10000,0.021019
parallel,4,10000,0.020910
parallel,4,10000,0.021008
parallel,4,10000,0.021081
parallel,8,10000,0.014739
parallel,8,10000,0.014706
parallel,8,10000,0.014686
parallel,8,10000,0.014644
parallel,8,10000,0.014705
parallel,12,10000,0.012345
parallel,12,10000,0.012331
parallel,12,10000,0.012292
parallel,12,10000,0.012390
parallel,12,10000,0.012384
sequential,1,20000,0.187709
sequential,1,20000,0.183984
sequential,1,20000,0.183127
sequential,1,20000,0.182350
sequential,1,20000,0.183642
parallel,2,20000,0.139847
parallel,2,20000,0.139324
parallel,2,20000,0.137532
parallel,2,20000,0.137788
parallel,2,20000,0.137346
parallel,4,20000,0.083671
parallel,4,20000,0.086948
parallel,4,20000,0.083489
parallel,4,20000,0.082810
parallel,4,20000,0.083226
parallel,8,20000,0.056215
parallel,8,20000,0.056135
parallel,8,20000,0.057241
parallel,8,20000,0.056138
parallel,8,20000,0.056135
parallel,12,20000,0.048573
parallel,12,20000,0.048285
parallel,12,20000,0.049723
parallel,12,20000,0.048116
parallel,12,20000,0.048371
