Version,Size,Threads,Execution_Time(s)
sequential,10000,1,0.000566
sequential,10000,1,0.000518
sequential,10000,1,0.000527
sequential,10000,1,0.000642
sequential,10000,1,0.000515
sequential,100000,1,0.006243
sequential,100000,1,0.006347
sequential,100000,1,0.006163
sequential,100000,1,0.006165
sequential,100000,1,0.006170
sequential,1000000,1,0.072759
sequential,1000000,1,0.071841
sequential,1000000,1,0.072594
sequential,1000000,1,0.072613
sequential,1000000,1,0.072419
sequential,10000000,1,0.820181
sequential,10000000,1,0.816095
sequential,10000000,1,0.814752
sequential,10000000,1,0.854395
sequential,10000000,1,0.824559
parallel,10000,2,0.000322
parallel,10000,2,0.000327
parallel,10000,2,0.000319
parallel,10000,2,0.000303
parallel,10000,2,0.000310
parallel,10000,4,0.000370
parallel,10000,4,0.000354
parallel,10000,4,0.000341
parallel,10000,4,0.000372
parallel,10000,4,0.000345
parallel,10000,8,0.003938
parallel,10000,8,0.000372
parallel,10000,8,0.000415
parallel,10000,8,0.000388
parallel,10000,8,0.000396
parallel,10000,12,0.010999
parallel,10000,12,0.000453
parallel,10000,12,0.000416
parallel,10000,12,0.000441
parallel,10000,12,0.010762
parallel,100000,2,0.003047
parallel,100000,2,0.003058
parallel,100000,2,0.002957
parallel,100000,2,0.002997
parallel,100000,2,0.003122
parallel,100000,4,0.003017
parallel,100000,4,0.002868
parallel,100000,4,0.002765
parallel,100000,4,0.002663
parallel,100000,4,0.002952
parallel,100000,8,0.002665
parallel,100000,8,0.002838
parallel,100000,8,0.002578
parallel,100000,8,0.002198
parallel,100000,8,0.002328
parallel,100000,12,0.009978
parallel,100000,12,0.003476
parallel,100000,12,0.002253
parallel,100000,12,0.002273
parallel,100000,12,0.002069
parallel,1000000,2,0.028768
parallel,1000000,2,0.030235
parallel,1000000,2,0.031463
parallel,1000000,2,0.031646
parallel,1000000,2,0.030641
parallel,1000000,4,0.028807
parallel,1000000,4,0.026792
parallel,1000000,4,0.027345
parallel,1000000,4,0.028396
parallel,1000000,4,0.027961
parallel,1000000,8,0.022676
parallel,1000000,8,0.023784
parallel,1000000,8,0.024341
parallel,1000000,8,0.023907
parallel,1000000,8,0.023349
parallel,1000000,12,0.019306
parallel,1000000,12,0.019089
parallel,1000000,12,0.021274
parallel,1000000,12,0.021350
parallel,1000000,12,0.020459
parallel,10000000,2,0.295967
parallel,10000000,2,0.334007
parallel,10000000,2,0.339050
parallel,10000000,2,0.318494
parallel,10000000,2,0.333935
parallel,10000000,4,0.285261
parallel,10000000,4,0.259356
parallel,10000000,4,0.292316
parallel,10000000,4,0.288230
parallel,10000000,4,0.291005
parallel,10000000,8,0.256850
parallel,10000000,8,0.259035
parallel,10000000,8,0.257380
parallel,10000000,8,0.273546
parallel,10000000,8,0.259486
parallel,10000000,12,0.198892
parallel,10000000,12,0.244833
parallel,10000000,12,0.216872
parallel,10000000,12,0.210039
parallel,10000000,12,0.218799
