Version,Threads,Execution_Time(s)
sequential,1,4.709293
sequential,1,4.599052
sequential,1,4.582155
sequential,1,4.654132
sequential,1,4.623629
parallel,2,3.944765
parallel,2,3.917332
parallel,2,3.913920
parallel,2,3.894184
parallel,2,3.920209
parallel,4,2.250270
parallel,4,2.265533
parallel,4,2.252303
parallel,4,2.262384
parallel,4,2.285634
parallel,8,2.288923
parallel,8,2.303067
parallel,8,2.318062
parallel,8,2.306036
parallel,8,2.293432
parallel,12,1.831632
parallel,12,3.527643
parallel,12,2.929723
parallel,12,2.878114
parallel,12,1.809964
